practice_name,also_known_as,address,postcode,ls_area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Nichols and Fisher Dental Care,,"67a Wakefield Road, Garforth, Leeds",LS25 1AR,Garforth/Micklefield,01132 862450,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Nichols and Fisher Dental Care,CQC directory (auto-downloaded),
Garforth Dental,,"35B, Main Street,  Garforth, Leeds",LS25 1DS,Garforth/Micklefield,01132 867369,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Garforth Members Limited,CQC directory (auto-downloaded),
Fleur Dental Leeds,,"Unit 1 & 2 Lidgett Lane, Garforth, Leeds",LS25 1EH,Garforth/Micklefield,01135 112150,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taheri Limited,CQC directory (auto-downloaded),
Enhancedental,,"York House,  16 Main Street, Garforth, Leeds",LS25 1EZ,Garforth/Micklefield,01132 860232,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enhancedental,CQC directory (auto-downloaded),
Elmet Dental Care,,"2 Low Street, Sherburn In Elmet, Leeds",LS25 6BG,Garforth/Micklefield,01977 682573,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Elmet Dental Care,CQC directory (auto-downloaded),
Finkle Hill Dental Care,,"12c Finkle Hill, Sherburn In Elmet, Leeds",LS25 6EA,Garforth/Micklefield,0776 5888356,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Finkle Hill Dental Care Limited,CQC directory (auto-downloaded),
Kippax Dental Centre,,"271 Gibson Lane, Kippax, Leeds",LS25 7JN,Garforth/Micklefield,0785 4442612,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Garforth Members Limited,CQC directory (auto-downloaded),
Rothwell Dental Care,,"22 Royds Lane, Rothwell, Leeds",LS26 0BE,Rothwell/Woodlesford,01132 822233,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Matthew J. Millican Limited,CQC directory (auto-downloaded),
Rothwell Dental Surgery,,"4 Butcher Lane, Leeds",LS26 0DB,Rothwell/Woodlesford,01132 822972,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Patricio, Ferreira and Prasad",CQC directory (auto-downloaded),
Maia Dental,,"Gillett Lane, Rothwell, Leeds",LS26 0EG,Rothwell/Woodlesford,01132 822238,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Maia Dental Limited,CQC directory (auto-downloaded),
Beechwood Dental Care,,"6A Beechwood Centre,  Church Street, Woodlesford, Leeds",LS26 8RE,Rothwell/Woodlesford,01132 826516,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Phillip Duncan Reid,CQC directory (auto-downloaded),
Dental Rituals Leeds,,"Unit 5 Turnberry Park, Gildersome,  Morley, Leeds",LS27 7LE,Morley,01133 506090,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taheri Limited,CQC directory (auto-downloaded),
Safe Dental,,"32 Commercial Street, Morley, Leeds",LS27 8HL,Morley,01132 525428,https://www.safe-dental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S A Harrison Laboratories Limited,CQC directory (auto-downloaded),website unreachable
Fountain Dental Practice,,"Little Fountain Street, Morley, Leeds",LS27 9EN,Morley,01135 328111,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Emmanuel Adedeji Fowode,CQC directory (auto-downloaded),
East Leigh Dental Care,Dr Matthew Booth,"103 Old Road, Farsley, Pudsey",LS28 5BR,Pudsey,01132 565459,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Matthew Booth,CQC directory (auto-downloaded),
East Leigh Dental Care Limited,,"103 Old Road, Farsley, Pudsey",LS28 5BR,Pudsey,01132 565459,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East Leigh Dental Care Ltd,CQC directory (auto-downloaded),
Farsley Dental Practice,,"Town Street, Farsley, Pudsey",LS28 5HX,Pudsey,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Farsley Dental Practice Limited,CQC directory (auto-downloaded),
Dynasty Dental Suite,,"2 Robin Lane, Pudsey",LS28 7BN,Pudsey,0800 7747106,https://www.dynastydentureclinics.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dynasty Denture Clinics Ltd,CQC directory (auto-downloaded),website unreachable
Pudsey Implant Centre & Co,,"15 Lidget Hill, Pudsey",LS28 7LG,Pudsey,01132 576856,https://www.pudseydental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pudsey Implant Centre & Co,CQC directory (auto-downloaded),website unreachable
Muirhead Dental Health,,"103 Main Street, Addingham, Ilkley",LS29 0PD,Ilkley/Wharfedale,01943 830079,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Muirhead Dental Health Limited,CQC directory (auto-downloaded),
Muirhead Dental Health Addingham,,"103 Main Street, Addingham, Ilkley",LS29 0PD,Ilkley/Wharfedale,01943 830079,https://www.addinghamdentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peter Robbins and John Muirhead,CQC directory (auto-downloaded),
A Smile For Life - Bradford Road,,"52 Bradford Road, Menston, Ilkley",LS29 6BX,Ilkley/Wharfedale,01943 871855,https://www.asmileforlifeltd.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,A Smile For Life Limited,CQC directory (auto-downloaded),
Menston Dental Practice,,"90 Main Street, Menston, Ilkley",LS29 6HY,Ilkley/Wharfedale,01943 874484,https://www.menstondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ibrahim And Adam Limited,CQC directory (auto-downloaded),
The Burley Dental Suite,,"32 Station Road, Burley In Wharfedale, Ilkley",LS29 7JL,Ilkley/Wharfedale,01943 865600,https://www.burleydentalsuite.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Portman Smile Clinic Ilkley,,"International Development Centre, Valley Drive, Ilkley",LS29 8AL,Ilkley/Wharfedale,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Ilkley Dental Care Limited,,"39 Leeds Road, Ilkley",LS29 8DP,Ilkley/Wharfedale,01943 608750,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ilkley Dental Care Limited,CQC directory (auto-downloaded),
360 Visualise - Ilkley,,"International Development Centre, Valley Drive, Ilkley",LS29 8PB,Ilkley/Wharfedale,01943 601222,https://www.360v.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,360 Visualise Limited,CQC directory (auto-downloaded),website unreachable
U Dentistry,,"The International Development Centre, Valley Drive, Ilkley",LS29 8PB,Ilkley/Wharfedale,01943 605058,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Regent Dental,,"2A Regent Road, Ilkley",LS29 9EA,Ilkley/Wharfedale,01943 661331,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Regent Dental Ltd,CQC directory (auto-downloaded),
Wells Road Dental Surgery,,"11 Wells Road, Ilkley",LS29 9JB,Ilkley/Wharfedale,01943 608748,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wells Road Dental Surgery Ltd,CQC directory (auto-downloaded),
Specialist Dental Care Limited,,"29 The Grove, Ilkley",LS29 9NQ,Ilkley/Wharfedale,01943 608090,https://www.specialistdentalcare.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Specialist Dental Care Limited,CQC directory (auto-downloaded),
Acorn Dental Centre,,"64 The Grove, Ilkley",LS29 9PA,Ilkley/Wharfedale,01943 607474,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Target Dental Limited,CQC directory (auto-downloaded),
Clarendon Dental Spa,,"9 Woodhouse Square, Leeds",LS3 1AD,Burley/Kirkstall,01132 459004,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Clarendon Dental Spa (Leeds) Limited,CQC directory (auto-downloaded),
Kirkstall Road Dental Practice,,"327 Kirkstall Road, Leeds",LS4 2HD,Kirkstall/Burley,0779 2722679,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Yusuf Patel,CQC directory (auto-downloaded),
Burley House Dental Care,,"350a Burley Road, Leeds",LS4 2NZ,Kirkstall/Burley,01132 746160,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds Gentle Dental Centre Ltd,CQC directory (auto-downloaded),
Headingley Dental Care Centre,,"58 Brudenell Road, Headingley, Leeds",LS6 1EG,Headingley/Hyde Park,01132 785630,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Altaf Hussain,CQC directory (auto-downloaded),
Deu Dental Headingley,,"10 Otley Road, Leeds",LS6 2AD,Headingley/Hyde Park,01132 784000,https://www.deuhealth.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jagtar Deu,CQC directory (auto-downloaded),
Tracey Black's Dental Surgery,,"1 St. Michaels Lane, Headingley, Leeds",LS6 3AN,Headingley/Hyde Park,01132 788998,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Daniel Edward Kaufman,CQC directory (auto-downloaded),
Langdale Dental,,"1 Langdale Avenue, Leeds",LS6 3HA,Headingley/Hyde Park,01132 751249,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cooper Dental Limited,CQC directory (auto-downloaded),
Smile Clinic Leeds (Headingley),,"44 North Lane,  Headingley, Leeds",LS6 3HU,Headingley/Hyde Park,01274 531567,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sandeep Sharma,CQC directory (auto-downloaded),
LS1dental,,"115a Otley Road, Headingley, Leeds",LS6 3PX,Headingley/Hyde Park,01132 786623,https://www.ls1dental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Arminder Hare,CQC directory (auto-downloaded),website unreachable
Meanwood Dental Practice,,"583 Meanwood Road, Leeds",LS6 4AY,Headingley/Hyde Park,01132 785966,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Baljeet Singh Panesar,CQC directory (auto-downloaded),
Burton Croft Dental Care,,"5 Burton Crescent, Leeds",LS6 4DN,Headingley/Hyde Park,01132 741780,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Julian Brain,CQC directory (auto-downloaded),
Stonegate Dental,,"89 Stonegate Road, Meanwood, Leeds",LS6 4JE,Headingley/Hyde Park,01132 930380,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Stonegate Dental Limited,CQC directory (auto-downloaded),
Meanwood Dental Ltd,,"58, Stainbeck Road, Leeds",LS7 2PW,Chapel Allerton,01132 304010,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Meanwood Dental Limited,CQC directory (auto-downloaded),
Stainbeck Dental Surgery,,"Hammond and Coombs Dental Practice, 58 Stainbeck Road, Leeds",LS7 2PW,Chapel Allerton,01132 304010,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Stainbeck Dental Surgery,CQC directory (auto-downloaded),
Leeds Urgent Dental Centre,,"Unit 3, Gemini Business Park,  Sheepscar Way, Leeds",LS7 3JB,Chapel Allerton,01217 728886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Night Dental Ltd,CQC directory (auto-downloaded),
Smiles on Harrogate Road,,"41 Harrogate Road, Leeds",LS7 3PD,Chapel Allerton,01133 000202,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,GG Smiles Limited,CQC directory (auto-downloaded),
Aura Dental Studio,,"562 Scott Hall Road, Leeds",LS7 3RD,Chapel Allerton,0790 0020903,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aura Dental Studio Limited,CQC directory (auto-downloaded),
Chapeltown Dental Pain and Stain Removal Clinic,,"168 Chapeltown Road, Leeds",LS7 4HP,Chapel Allerton,0775 8230223,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chapeltown Dental Pain and Stain Removal Clinic Ltd,CQC directory (auto-downloaded),
Montreal Dental Care,,"8 Montreal Avenue, Leeds",LS7 4LF,Chapel Allerton,01132 621663,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Imad Hashim Al-Hussein,CQC directory (auto-downloaded),
Yorkshire Orthodontics Leeds,,"25 Street Lane, Leeds",LS8 1BW,Roundhay/Fearnville,01943 465443,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Orthodontics Limited,CQC directory (auto-downloaded),
Precious Dental Care,,"20 Gledhow Avenue, Roundhay, Leeds",LS8 1NU,Roundhay/Fearnville,01132 667370,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Thota Associates,CQC directory (auto-downloaded),
Perfect Smile Clinic,,"252-254 Easterly Road, Oakwood, Leeds",LS8 3ES,Roundhay/Fearnville,01132 486777,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Perfect Smile Clinic (UK) Ltd,CQC directory (auto-downloaded),
Yorkshire Dental Suite,,"347 Oakwood Lane, Leeds",LS8 3HA,Roundhay/Fearnville,01138 879594,https://www.yorkshiredentalsuite.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Abdulbaset Dalghous,CQC directory (auto-downloaded),
Oakwood Dental Practice,,"611 Roundhay Road, Leeds",LS8 4AR,Roundhay/Fearnville,01132 402140,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oakwood Smiles Ltd,CQC directory (auto-downloaded),
Teeth,,"645a Roundhay Road, Oakwood, Leeds",LS8 4BA,Roundhay/Fearnville,01132 490578,https://www.teethatoakwood.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Julian Bhowmick,CQC directory (auto-downloaded),
Chana Dental Practice - Leeds,,"74 Avenue Hill, Harehills, Leeds",LS8 4EZ,Roundhay/Fearnville,01132 623387,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Gurcharn Chana,CQC directory (auto-downloaded),
Roundhay Road Dental,,"313a Roundhay Road, Leeds",LS8 4HT,Roundhay/Fearnville,01132 490795,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Centre of Advanced Dentistry Yorkshire Limited,CQC directory (auto-downloaded),
Jem Dental Care,,"210-214, Harehills Lane, Leeds",LS8 5DH,Roundhay/Fearnville,01132 492136,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jem Dental Care Practice Partnership,CQC directory (auto-downloaded),
J H Sager Limited - Compton,,"401 Harehills Lane, Harehills, Leeds",LS9 6AP,Harehills/East Leeds,01132 493428,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JH Sager Limited,CQC directory (auto-downloaded),
Zayra Dental Practice,Dr Reshma Vallika Parambil,"599 Harehills Lane, Leeds",LS9 6NQ,Harehills/East Leeds,01132 488398,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Reshma Vallika Parambil,CQC directory (auto-downloaded),
David Beevers Day Unit,,"St. James's University Hospital, Alma Street, Leeds",LS9 7BE,Harehills/East Leeds,01133 929875,https://www.leedsth.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leeds Community Healthcare NHS Trust,CQC directory (auto-downloaded),website unreachable
The Dental Surgery Leeds,,"386 York Road, Leeds",LS9 9ED,Harehills/East Leeds,01132 495607,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yorkshire Smiles Limited,CQC directory (auto-downloaded),
City Dental,,"26 Albion Place, Leeds",LS1 6JS,Leeds city centre,01132 454868,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,Rodericks Dental Partners Limited,CQC directory (auto-downloaded),
Bupa Dental Care Leeds,,"The Bridge, Waterloo Street, Leeds",LS10 1AP,Hunslet/South Leeds,,https://www.bupa.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,Bupa Dental Services Limited,CQC directory (auto-downloaded),website unreachable
Lady Pit Lane Dental Practice,,"Lady Pit Lane Dental Practice, 2 Lady Pit Lane, Leeds",LS11 6AJ,Beeston/Holbeck,01132 457672,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,Rodericks Dental Partners Limited,CQC directory (auto-downloaded),
Bupa Dental Care Beeston,,"87 Old Lane, Beeston, Leeds",LS11 7AB,Beeston/Holbeck,01132 716400,https://www.beestondental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,Oasis Dental Care Limited,CQC directory (auto-downloaded),website unreachable
"mydentist Bramley Shopping Centre, Bramley",,"Units 26-29, Bramley Shopping Centre, Leeds",LS13 2ET,Bramley/Rodley,01132 565513,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
New Smile Dental Care Selby Road,,"95 Selby Road, Leeds",LS15 7JL,Cross Gates/Austhorpe,01132 405119,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Smile Dental Care,Yes,Mr. Simon Paul Agabeg,CQC directory (auto-downloaded),
"Mydentist Crossgates Shopping Centre, Crossgates",,"52A, Crossgates Shopping Centre, Leeds",LS15 8EU,Cross Gates/Austhorpe,113260092,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Bupa Dental Care Moortown,,"87 King Lane, Leeds",LS17 5AX,Moortown/Alwoodley,01132 685711,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,King Lane Partnership,CQC directory (auto-downloaded),
New Smile Dental Care Woodhouse Lane,,"178 Woodhouse Lane, Leeds",LS2 9HB,Leeds city centre east,01132 425528,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Smile Dental Care,Yes,Mr. Simon Paul Agabeg,CQC directory (auto-downloaded),
Bupa Dental Care Guiseley,,"8 The Green, Guiseley, Leeds",LS20 9BT,Guiseley,01943 877530,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,Apex Dental Care Limited,CQC directory (auto-downloaded),
Smile Dental Care Tadcaster,Smile Dental Care Group - Tadcaster,"The Old Bank, 26 Bridge Street, Tadcaster",LS24 9AL,Sherburn in Elmet,01937 413193,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Smile Dental Care,No,Smile Care United Ltd,CQC directory (auto-downloaded),
Genix Healthcare Dental Clinic - Garforth,,"54 Main Street, Garforth, Leeds",LS25 1AA,Garforth/Micklefield,01132 866133,https://www.genixhealthcare.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,Genix Healthcare Ltd,CQC directory (auto-downloaded),
Dental Partners Morley,,"13 Watson Street, Morley, Leeds",LS27 0AH,Morley,01132 534550,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,Rodericks Dental Partners Limited,CQC directory (auto-downloaded),
"mydentist, Queen Street, Morley",,"129 Queen Street, Morley, Leeds",LS27 8HE,Morley,01204 799799,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Mydentist - Richardshaw Lane - Pudsey,mydentist,"51 Richardshaw Lane, Pudsey",LS28 7NB,Pudsey,01132 570921,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Ilkley Dental Practice,,"19 Springs Lane, Ilkley",LS29 8TG,Ilkley/Wharfedale,01943 674080,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,Rodericks Dental Partners Limited,CQC directory (auto-downloaded),
Mydentist - Skinner Lane - Leeds,Whitecross Dental Care Limited,"Unit 7 & 8,  20:20 House Skinner Lane, Skinner Lane, Leeds",LS7 1BB,Chapel Allerton,01132 449900,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Mydentist - Sheepscar - Leeds,,"4 Sheepscar Court, Northside Business Park, Leeds",LS7 2BB,Chapel Allerton,01204 799799,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Genix Healthcare East Park Ltd,,"5-7 East Park Road, East Park, Leeds",LS9 9JD,Harehills/East Leeds,01132 480589,https://www.genixhealthcare.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,Genix Healthcare East Park Ltd,CQC directory (auto-downloaded),
