"Service name","Type of establishment","Services provided","Address line 1","Address line 2",Postcode,"Last inspection date",Telephone,Sector
"Birchgrove Surgery","GP Surgeries","GP services","Caerphilly Road Birchgrove",Cardiff,"CF14 4QL",11/10/2019,"'02920 522344",NHS
"Bishops Road Medical Centre","GP Surgeries","GP services","1 Bishops Road Whitchurch",Whitchurch,"CF14 1LT",,"'02920 522355",NHS
"Bistre Dental Practice","Dental Practices",Dental,"85 Mold Road",Flintshire,"CH7 2JA",22/08/2022,"'01244 548792",Private/Independent
"Blackwood and Caerphilly Laser Clinic at Studio 28 (de-registered 15/09/2025)",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","20 Maindee Road, Cwmfelinfach",Blackwood,"NP11 7HQ",18/04/2018,"'01495 201139",Private/Independent
"Blackwood Dental Centre","Dental Practices",Dental,"171A  High Street",Blackwood,"NP12 1AA",16/07/2021,"'01495 222697",NHS
"Canolfan Goffa Ffestiniog","GP Surgeries","GP services","Wynne Road","Blaenau Ffestiniog","LL41 3DW",27/10/2017,"'03000 850004",NHS
"Blaenavon Dental Clinic","Dental Practices",Dental,"Blaenavon Resource Centre Middle Coed Cae Raod",Pontypool,"NP4 9AW",30/10/2019,"'01495 796317",NHS
"Blaenavon Medical Practice","GP Surgeries","GP services","Middle Coed Cae Road",Blaenavon,"NP4 9AW",09/06/2021,"'01495 360663",NHS
"Blaengwynfi Health Centre","GP Surgeries","GP services",Blaengwynfi,"Port Talbot","SA13 3YE",,"'01639 850345",NHS
"Blaen-y-Cwm Group Practice","GP Surgeries","GP services","Blaina Road",Brynmawr,"NP23 4PS",04/08/2017,"'01495 312909",NHS
"Blaina Dental Surgery","Dental Practices",Dental,"Blaina Medical Practice","High Street","NP13 3AT",29/05/2019,"'01495 290098","NHS, Private/Independent"
"Blaina Medical Practice","GP Surgeries","GP services","High Street",Blaina,"NP13 3AT",02/10/2023,"'01495 290325",NHS
"Bod Heulog Dental Care","Dental Practices",Dental,"47 Russell Road",Denbighshire,"LL18 3DA",24/01/2019,"'01745 342996",Private/Independent
"Bodnant Medical Centre","GP Surgeries","GP services","Menai Avenue",Gwynedd,"LL57 2HH",05/12/2022,"'01248 364492",NHS
"Bodowen Surgery","GP Surgeries","GP services","Halkyn Road",Flintshire,"CH8 7GA",28/09/2017,"'01352 710529",NHS
Bodreinallt,"GP Surgeries","GP services","Castle Street",Conwy,"LL32 8AT",,"'01492 593385",NHS
"Avicenna Medical Centre","GP Surgeries","GP services","Blackwood Road",Blackwood,"NP12 2YU",,"'01495 227156",NHS
"Baglan Dental Practice","Dental Practices",Dental,"80 Fairwood Drive","Port Talbot","SA12 8NU",11/04/2024,"'01639 812156","NHS, Private/Independent"
"Bamboo Dental","Dental Practices",Dental,"26a Cowbridge Road West",Ely,"CF5 5BS",09/10/2017,"'029 2056 9769","NHS, Private/Independent"
"MyDentist – Bangor","Dental Practices",Dental,"14 Cathedral Walk Garth Road",Gwynedd,"LL57 1DN",18/01/2018,"'01248 362143",NHS
"Bangor Dental Surgery","Dental Practices",Dental,"Bangor Road",Anglesey,"LL74 8QJ",,"'01248 852338",NHS
"MyDentist – Bargoed","Dental Practices",Dental,"Bargoed Dental Centre",Bargoed,"CF81 8QZ",02/11/2022,"'01443 831058","NHS, Private/Independent"
"Bargoed Hall Family Health Centre","GP Surgeries","GP services","Cardiff Road",Bargoed,"CF81 8NY",,"'01443 831211",NHS
"Barlow House Surgery","GP Surgeries","GP services","Manchester Square Health Centre Manchester Square","Milford Haven","SA73 2JW",,"'01646 690674",NHS
"Barrie David and Associates Dental Practice","Dental Practices",Dental,"88 Pisgah Street Kenfig Hill",Bridgend,"CF33 6DA",02/02/2018,"'01656 740204","NHS, Private/Independent"
"Barry Hospital",Hospitals,,"Colcot Road",Barry,"CF62 8YH",12/06/2026,"'01446 704095",NHS
"Bay House Dental Practice","Dental Practices",Dental,"59 Cathedral Road",Cardiff,"CF11 9HE",07/11/2018,"'029 20 231258",Private/Independent
"Uplands Dental Suite","Dental Practices",Dental,"28 Sketty Road",Uplands,"SA2 0LJ",29/05/2019,"'01792 298250","NHS, Private/Independent"
"Beaufort Park Dental Surgery","Dental Practices",Dental,"Beaufort Park",Chepstow,"NP16 5UH",04/10/2022,"'01291 624515","NHS, Private/Independent"
"Beaumaris Dental Practice","Dental Practices",Dental,"6 Castle Street",Beaumaris,"LL58 8AP",04/01/2018,"'01248 811041",NHS
"Beauty Advance Skin and Laser Clinic",Clinics,"Laser - non-surgical (e.g. hair or tattoo removal)","6-8 Morgan Arcade",Cardiff,"CF10 1AF",12/03/2025,"'02920 529552",Private/Independent
"Beauty Oasis Salon and Day Spa",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","70 The Highway","New Inn, Pontypool","NP4 0PL",05/05/2023,,Private/Independent
"Beauty Within",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","10 High Street",Cowbridge,"CF71 7AG",08/05/2025,"'01446 774980",Private/Independent
"Brilliant Dental Care by Ruth Morris","Dental Practices",Dental,"1 The Crossroads",Pontypridd,"CF38 2AD",09/11/2017,"'01443 217536","NHS, Private/Independent"
"Bedwas Surgery","GP Surgeries","GP services","East Avenue",Caerphilly,"CF83 8AE",,"'02920 864989",NHS
"Beech Avenue Practice","GP Surgeries","GP services","The Health Centre, Beech Avenue",Wrexham,"LL14 1AA",,"'01978 845955",NHS
"Beech House Surgery","GP Surgeries","GP services","69 Vale Street",Denbighshire,"LL16 3AY",,"'01745 812863",NHS
"Beechley Medical Centre","GP Surgeries","GP services","Bryncabanau Road, Hightown,",Wrexham,"LL13 7BS",08/03/2018,"'01978 367921",NHS
"Beechwood Primary Care","GP Surgeries","GP services","371-373 Chepstow Road",Newport,"NP19 8HL",,"'01633 277771",NHS
"Belgrave Dental Centre","Dental Practices",Dental,"91 Walter Road",Swansea,"SA1 4QF",04/05/2021,"'01792 473881","NHS, Private/Independent"
"Cheriton Medical Centre","GP Surgeries","GP services","Cheriton Crescent Portmead",Swansea,SA55LB,,"'01792 561122",NHS
"Chirk Community Hospital",Hospitals,,Chirk,Wrexham,"LL14 5LN",,"'01691 772430",NHS
"Chirk Surgery","GP Surgeries","GP services","Colliery Road",Wrexham,"LL14 5DH",,"'01691 772434",NHS
"Holmes Dental Care","Dental Practices",Dental,"7 Bishops Road",Cardiff,"CF14 1LT",01/11/2017,"'029 2061 7703",
"Church Road Dental Practice","Dental Practices",Dental,"33 Church Road",Whitchurch,"CF14 2DY",11/06/2026,"'029 2061 4444","NHS, Private/Independent"
"Church Street Dental Practice","Dental Practices",Dental,"3 Church Street","Merthyr Tydfil","CF47 8DE",01/03/2022,"'01685 723869",NHS
"Church Surgery","GP Surgeries","GP services","Portland Street",Aberystwyth,"SY23 2DX",18/10/2019,"'01970 624855",NHS
"Churchill Way Dental Practice","Dental Practices",Dental,"4a Churchill Way","City Centre","CF10 2DW",,"'029 2037 3831",NHS
"Pontypool Medical Centre","GP Surgeries","GP services","Pontypool Medical Centre",Pontypool,NP46DH,03/06/2026,"'01495 752444",NHS
"Cilgerran House Dental Care","Dental Practices",Dental,"15 Pontardulais Road",Gorseinon,"SA4 4FE",,"'01792 898347","NHS, Private/Independent"
"Cimla Hospital",Hospitals,,Cimla,Neath,"SA11 3SU",,"'01639 862000",NHS
"City Dental Practice","Dental Practices",Dental,"21 High Street",Bangor,"LL57 1NP",22/05/2017,"'01248 370054",Private/Independent
"City Skin Doctor",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","225 City Road",Cardiff,"CF24 3JD",29/10/2025,"'02920 486868",Private/Independent
"Claire Price Beauty Clinic",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","Beechcroft House Hereford Road",Abergavenny,NP76LE,30/09/2025,"'01873 859229",Private/Independent
"Clare Road Medical Centre","GP Surgeries","GP services","148 Clare Road",Grangetown,"CF11 6RW",23/04/2025,,NHS
"Clarence Medical Centre","GP Surgeries","GP services","West Kinmel Street",Rhyl,"LL18 1DA",03/12/2018,"'01745 350680",NHS
"Clark Avenue Surgery","GP Surgeries","GP services","Clark Avenue",Pontnewydd,"NP44 1RY",,,NHS
"Clase Surgery","GP Surgeries","GP services","88 Mynydd Garnlwyd Road Clase",Swansea,"SA6 7NZ",21/04/2026,,NHS
"Clifton Dental Care Ltd","Dental Practices",Dental,"112 Newport Road",Roath,"CF24 1DG",03/10/2023,"'029 2048 6231","NHS, Private/Independent"
"Clifton Dental Practice","Dental Practices",Dental,"Clifton Dental Practice 67 Clifton Terrace",Newtown,"SY16 1BG",31/12/2025,"'01686 626252","NHS, Private/Independent"
"Clifton Surgery","GP Surgeries","GP services","151-153 Newport Road Roath",Roath,"CF24 1AG",,"'029 2049 4539",NHS
"Clinic Premises","GP Surgeries","GP services",Bryncelyn,Nelson,"CF46 6HL",,"'01443 450340",NHS
"Clive Street Dental Practice","Dental Practices",Dental,"4 Clive Street",Caerphilly,"CF83 1GE",04/01/2017,"'02920 883350",NHS
"Cloughmore Medical Centre","GP Surgeries","GP services","19 South Park Road",Splott,"CF24 2LU",02/05/2017,"'029 2046 2848",NHS
"Clwyd House Surgery","GP Surgeries","GP services","Argoed Road",Flintshire,CH73HZ,,"'01244 550513",NHS
"Canolfan Iechyd Amlwch","GP Surgeries","GP services","Parys Road",Amlwch,"LL68 9AB",,"'01407 830235",NHS
"Canolfan Iechyd Llangollen Health Centre","GP Surgeries","GP services","Bishops Walk",Denbighshire,"LL20 8RZ",,"'01978 860625",NHS
"Canolfan Iechyd Y Felinheli","GP Surgeries","GP services",Rowen,Gwynedd,"LL56 4RX",01/10/2025,"'01248 670423",NHS
"Canton Dental Care","Dental Practices",Dental,"339 Cowbridge Road East","Canton, Cardiff","CF5 1JE",22/02/2022,"'029 2023 3307","NHS, Private/Independent"
"Cardiac Health Diagnostics Limited","Medical agencies (with no physical premises)",,"35-36 Haldane Building,","Swansea University, Singleton Campus","Sa2 8PP",05/03/2026,'N/A,Private/Independent
"Cardiff and Vale University Health Board",Hospitals,,"Headquarters, University Hospital for Wales, Health Park",Cardiff,"CF14 4xW",27/06/2025,"'02920 747747",NHS
"Nuffield Health, Cardiff Bay Hospital",Hospitals,"Ionising radiation (e.g. Radiotherapy)","Dunleavy Drive Celtic Gateway","Cardiff Bay","CF11 0AA",24/06/2026,"'029 2083 6700",Private/Independent
"Cardiff Bay Surgery","GP Surgeries","GP services","Plas Iona Loundon Square",Butetown,"CF10 5HW",05/02/2025,"'029 2183 3240",NHS
"Cardiff Bay Surgery","GP Surgeries","GP services","45 Cambridge Street",Grangetown,"CF11 7DJ",,"'029 2183 3450",NHS
"Cardiff Health Access Practice","GP Surgeries","GP services","Cardiff Royal Infirmary Longcross Street",Roath,"CF24 0SZ",,"'029 2033 5449",NHS
"Cardiff Road Dental Practice (Cox and Hitchcock Dental Group)","Dental Practices",Dental,"67 Cardiff Road",Newport,"NP20 2EN",02/10/2024,"'01633 258385","NHS, Private/Independent"
"Cardiff Royal Infirmary",Hospitals,,"Glossop Road",Cardiff,"CF24 0SZ",,"'02920 492233",NHS
"Cardigan & District Memorial Hospital",Hospitals,,Pontyceifion,Cardigan,"SA43 1DP",,"'01239 612214",NHS
"Cardigan Health Centre","GP Surgeries","GP services","Rhodfa’r Felin",Cardigan,"SA43 1JX",,,NHS
"Caritas Surgery - Coedpoeth","GP Surgeries","GP services","Smithy Road",Coedpoeth,"LL11 3NS",,"'01978 720450",NHS
"Caritas Surgery - Cefn Mawr","GP Surgeries","GP services","Well Street","Cefn Mawr","LL14 3AE",,"'01978 720450",NHS
"Caritas Surgery - The Health Centre","GP Surgeries","GP services","Glyndwr University, Plas Coch Campus, Mold Road",Wrexham,"LL11 2AW",,"'01978 720450",NHS
"Canolfan Iechyd Cross Hands - Penygroes","GP Surgeries","GP services","Carmarthen Road","Cross Hands","SA14 6SP",,"'01269 506930",NHS
"Cwmfelinfach Surgery","GP Surgeries","GP services","Stanley Street",Risca,"NP11 7HF",07/06/2022,"'01495 200343",NHS
"Castle Court Dental Care","Dental Practices",Dental,"1 Castle Court","Dinas Powys","CF64 4NS",01/11/2018,"'02920 512646","NHS, Private/Independent"
"Castle Gate Medical Practice - Monmouth","GP Surgeries","GP services","Rear Of 102","Monnow Street","NP25 3EQ",,"'01600 713811",NHS
"Castle Gate Medical Practice - Raglan","GP Surgeries","GP services","Chepstow Road",Raglan,"NP15 2EN",,"'01291 690222",NHS
"Castle Square Clinic Ltd","Dental Practices",Dental,"35 Castle Square",Caernarfon,"LL55 2NN",04/08/2021,"'01286 673174","NHS, Private/Independent"
"Castle Street Dental Practice","Dental Practices",Dental,"24 Castle Street",Tredegar,"NP22 3DG",21/12/2021,"'01495 723021","NHS, Private/Independent"
"Castle Surgery","GP Surgeries","GP services","1 Prince of Wales Drive",Neath,"SA11 3EW",15/06/2022,"'01639 622050",NHS
"Builth Wells Medical Practice","GP Surgeries","GP services",Maes-y-Coed,"Glandwr Park",LD23DZ,08/05/2017,"'01982 552207",NHS
"Bulkeley Dental Practice","Dental Practices",Dental,"102 High Street",Bangor,"LL57 1NS",14/12/2022,"'01248 352526",Private/Independent
"Bupa Dental Care – Newport","Dental Practices",Dental,"197 Chepstow Road",Newport ,"NP19 8GH",06/03/2018,"'01633 277068",
"Bupa Dental Care – Kensington Court Clinic","Dental Practices",Dental,"197 Chepstow Road",Newport,"NP19 8GH",24/04/2019,"'01633 277068","NHS, Private/Independent"
"Bupa Dental Care – Chepstow","Dental Practices",Dental,"Boscobel House","Welsh Street","NP16 5LN",19/10/2018,"'01291 626626 / 01291 622196","NHS, Private/Independent"
"Bupa Dental Care - Chepstow Community Hospital","Dental Practices",Dental,"Chepstow Community Hospital","Tempest Way","NP16 5YX",11/07/2018,"'01291 628041","NHS, Private/Independent"
"Bupa Dental Care – Ebbw Vale","Dental Practices",Dental,"51 Bethcar Street","Ebbw Vale","NP23 6HW",19/05/2020,"'01495 303888",Private/Independent
"Butetown Medical Practice","GP Surgeries","GP services","Plas Iona",Butetown,"CF10 5HW",15/03/2018,"'02920 483126",NHS
"Byways Surgery","GP Surgeries","GP services","74 Pwllmelin Road",Cardiff,CF52NH,,"'029 2056 2895",NHS
"Cader Dental Practice","Dental Practices",Dental,"Cader Road, Dolgellau",Gwynedd,"LL40 1RJ",13/02/2020,"'01341 421021","NHS, Private/Independent"
"Cadwgan Surgery","GP Surgeries","GP services","11 Bodelwyddan Avenue","Old Colwyn","LL29 9NP",,"'01492 515787",NHS
"Caereinion Medical Practice","GP Surgeries","GP services","Llanfair Caereinion",Welshpool,"SY21 0RT",24/03/2022,"'01938 810279",NHS
"Caerffynnon  Surgery","GP Surgeries","GP services","Springfield Street",Dolgellau,"LL40 1LY",,"'01341 422431",NHS
"Caergwrle Medical Practice","GP Surgeries","GP services","39 - 41 High Street",Caergwrle,"LL12 9LG",,"'01978 760413",NHS
"Abertridwr Dental Surgery","Dental Practices",Dental,"5 Thomas Street",Abertridwr,"CF83 4AU",19/04/2017,"'02920 831270",NHS
"Caersws Health Centre","GP Surgeries","GP services","Llys Meddyg, Manthrig Lane",Caersws,"SY17 5EX",,"'01686 688225",NHS
"Caia Park Surgery","GP Surgeries","GP services","Prince Charles Road",Wrexham,"LL13 8TH",,"'01978 291129",NHS
"Caldicot Medical Group - Gray Hill Surgery","GP Surgeries","GP services","Woodstock Way",Caldicot,"NP26 5AB",,"'01291 420282",NHS
"Calfaria Surgery","GP Surgeries","GP services","Regent Street Treorchy",Treorchy,"CF42 6PR",,"'01443 771728",NHS
"Calgary Dental Surgery","Dental Practices",Dental,"East Street","Llantwit Major","CF61 1XY",20/11/2024,"'01446 792181","NHS, Private/Independent"
"Cambria Dental Practice","Dental Practices",Dental,"6 Chester Road",Penyffordd,"CH4 0JZ",13/03/2018,"'01244 541931",Private/Independent
"Cambria Dental Practice – Swansea","Dental Practices",Dental,"25 Eversley Road","Sketty, Swansea","SA2 9DB",12/02/2020,"'01792 202229",Private/Independent
"Cambria Surgery","GP Surgeries","GP services","Ucheldre Avenue",Anglesey,"LL65 1RA",25/04/2023,"'01407 762735",NHS
"Candwr Brook Medical Centre","GP Surgeries","GP services","Stokes Court",Caerleon,"NP18 1RY",,"'01633 423972",NHS
"Canolfan Feddygol Yr Hen Orsaf Medical Centre","GP Surgeries","GP services","Station Road",Bethesda,"LL57 3NE",,"'01248 600212",NHS
"Lansbury Surgery","GP Surgeries","GP services","Wedgewood Court",Caerphilly,"CF83 1RB",,"'02920 861547",NHS
"LaserWise Skin & Beauty Clinic",Hospitals,"Laser - non-surgical (e.g. hair or tattoo removal)","202 Whitchurch Road",Cardiff,"CF14 3NB",10/04/2026,"'029 2132 2424",Private/Independent
"Laurels and Briary Specialist Residential Service",Hospitals,,"36a & 36b Cowbridge Road West",Cardiff,"CF5 5BS",31/07/2025,"'02920 554510",NHS
"Laurels Dental Practice","Dental Practices",Dental,"28 Vardre Road Clydach",Swansea,"SA6 5LP",04/06/2025,"'01792 843207","NHS, Private/Independent"
"Lawn Dental Practice","Dental Practices",Dental,"Integrated Health and Social Care, Unit 22, Lawn Industrial Estate",Rhymney,"NP22 5PW",01/11/2021,"'01685 840700",Private/Independent
"Lee Voltz Laser Removal (Tribune)(de-registered 14/01/2026)",Clinics,"Laser - non-surgical (e.g. hair or tattoo removal)","8 High Street, Caerleon",Newport,"NP18 1AG",09/01/2020,"'01633 422020",Private/Independent
"Leeswood Surgery","GP Surgeries","GP services","Queen Street",Flintshire,CH74RQ,,"'01352 770212",NHS
"Leighton Roberts & Associates","Dental Practices",Dental,"27 High Street",Ferndale,"CF43 4RH",21/09/2022,"'01443 732030",Private/Independent
"Llan Aber Practice","GP Surgeries","GP services","Rear Of Church Street",Caerphilly,"CF83 3LS",,"'02920 833300",NHS
"Llanarth Court",Hospitals,"Mental Health","Llanarth Raglan",Usk,"NP15 2YD",15/08/2024,"'01873 840555",Private/Independent
"Llanberis Surgery","GP Surgeries","GP services","Cae Heti,  High Street",Gwynedd,"LL55 4SU",,"'01286 870634",NHS
"Llandaff Fields Medical Practice","GP Surgeries","GP services","Riverside Health Centre Wellington Street",Riverside,"CF11 9SH",,"'029 2002 9938",NHS
"Llandaff North Medical Centre","GP Surgeries","GP services","99 Station Road Llandaff North","Llandaff North","CF14 2FD",13/10/2020,"'029 2056 7822",NHS
"Llandaff Surgery","GP Surgeries","GP services","19a High Street",Llandaff,CF52DY,07/04/2022,"'029 2057 6675",NHS
"Llandeilo Dental Practice","Dental Practices",Dental,"18 Carmarthen Street",Llandeilo,"SA19 6AE",15/06/2017,"'01558 823658","NHS, Private/Independent"
"Llandeilo Road Dental Surgery","Dental Practices",Dental,"38 Llandeilo Road","Cross Hands","SA14 6RD",21/07/2021,"'01269 843400","NHS, Private/Independent"
"Llandovery Dental Surgery","Dental Practices",Dental,"22 Stone Street",Llandovery,"SA20 0JP",11/12/2024,"'01550 720500","NHS, Private/Independent"
"Llandovery Hospital",Hospitals,,"Llanfair Road",Llandovery,"SA20 0LA",29/04/2022,"'01550 722200",NHS
"Llandrindod Wells County War Memorial Hospital",Hospitals,,"Temple Street, Llandrindod Wells",Radnor,"LD1 5HF",17/12/2025,"'01597 822951",NHS
"Llandrindod Wells Family Dental Practice (de-registered 10/03/2026)","Dental Practices",Dental,"Old Town Hall Temple Street","Llandrindod Wells","LD1 5DL",,"'01597 822611","NHS, Private/Independent"
"Llandrindod Wells Medical Centre","GP Surgeries","GP services","Spa Road East","Llandrindod Wells",LD15ES,26/04/2017,"'01597 824291",NHS
"Llandudno General Hospital",Hospitals,,"Hospital Road",Llandudno,"LL30 1LB",06/11/2023,"'01492 860066",NHS
"Llandudno Junction Dental Practice","Dental Practices",Dental,"154 Conway Road","Llandudno Junction","LL31 9DU",30/12/2024,"'01492 582820",Private/Independent
"Llandudno Smiles","Dental Practices",Dental,"22 Augusta Street",Llandudno,"LL30 2AD",19/08/2025,"'01492 875979",Private/Independent
"Llanedeyrn Dental Practice","Dental Practices",Dental,"69 Ael-Y-Bryn, Llanedeyrn",Cardiff,"CF23 9LL",27/08/2019,"'029 2073 4404","NHS, Private/Independent"
"Mill Lane Surgery","GP Surgeries","GP services","46 Mill Lane",Flintshire,CH73HB,,"'01244 550939",NHS
"Mill Street Surgery","GP Surgeries","GP services","1 Mill Street",Llangwm,"SA62 4HU",,"'01437 891495",NHS
"Millmoor Way Surgery","GP Surgeries","GP services","25 Millmoor Way","Broad Haven","SA62 3JJ",,"'01437 781082",NHS
"Minfor Surgery","GP Surgeries","GP services","Park Road",Gwynedd,"LL42 1PL",12/11/2025,"'01341 280521",NHS
"Minster Surgery","GP Surgeries","GP services","Minster Road",,"CF23 5SE",,"'029 2047 3999",NHS
"Mitchell Close",Hospitals,,Llanfrechfa,Cwmbran,"NP44 8TX",,,NHS
"Mold Community Hospital",Hospitals,,"Ash Grove",Mold,CH71XG,,"'01352 758744",NHS
"Monmouth Dental Practice","Dental Practices",Dental,"16 St James Square",Monmouth,"NP25 3DN",,"'01600 714 236",Private/Independent
"Monnow Vale Health & Social Care Facility",Hospitals,,"Trefynwy Suite (Wards) Drybridge Park",Monmouth,"NP25 5BL",27/09/2017,"'01600 773061",NHS
"Montgomery County Infirmary (Newtown Hospital)",Hospitals,,"Llanfair Road",Newtown,"SY16 2DW",22/02/2024,"'01686 617200",NHS
"Montgomery Health Centre","GP Surgeries","GP services","Well Street",Montgomery,"SY15 6PF",,"'01686 668217",NHS
"Morgan Street Dental Surgery","Dental Practices",Dental,"20 Morgan Street",Pontypridd,"CF37 2DS",29/02/2024,"'01443 403747","NHS, Private/Independent"
"Morlais Medical Practice","GP Surgeries","GP services","Ty Morlais, Berry Square,","Merthyr Tydfil","CF48 3AL",03/09/2021,"'01685 385339",NHS
"Morriston Hospital",Hospitals,"Maternity, Paediatric, Mental Health, Ionising radiation (e.g. Radiotherapy), A&E","Swansea Heol Maes Eglwys",Cwmrhydyceirw,"SA6 6NL",18/06/2026,"'01792 702222",NHS
"Mostyn House Medical Practice","GP Surgeries","GP services","Mostyn Broadway",Conwy,"LL30 1YL",,"'01492 860401",NHS
"Mount Pleasant Dental Practice","Dental Practices",Dental,"36 Mount Pleasant Avenue",Llanrumney,"CF3 5SZ",14/04/2022,"'029 2077 8525","NHS, Private/Independent"
"Mount Pleasant Practice","GP Surgeries","GP services","Chepstow Community Hospital",Chepstow,"NP16 5XR",,"'01291 440154",NHS
"Mount Surgery","GP Surgeries","GP services","Margam Road","Port Talbot","SA13 2BN",,"'01639 502792",NHS
"Buckley Dental Practice","Dental Practices",Dental,"19 Padeswood Road North",Flintshire,"CH7 2JL",01/12/2022,"'01244 544585",Private/Independent
"Chepstow Road Dental Practice","Dental Practices",Dental,"18 Chepstow Road",Newport,"NP19 8EA",13/09/2023,"'01633 246005","NHS, Private/Independent"
"Mr Newland and Associates Dental Practice","Dental Practices",Dental,"73 Llantrisant Road",Pontyclun,"CF72 9DP",16/10/2024,"'01443 223514","NHS, Private/Independent"
"Marsh Dental Practice","Dental Practices",Dental,"36 Victoria Gardens",Neath,"SA11 3BH",22/05/2024,"'01639 644507","NHS, Private/Independent"
"Flint Dental Centre","Dental Practices",Dental,"110 Church Street",Flintshire,"CH6 5AF",04/09/2019,"'01352 761767",NHS
"94 Dental","Dental Practices",Dental,"94 Caerleon Road",Newport,"NP19 7BY",13/02/2026,"'01633 259091","NHS, Private/Independent"
"Mumbles Dental & Cosmetic Suite","Dental Practices",Dental,"24 Queens Road Mumbles",Swansea,"SA3 4AN",03/09/2025,"'01792 368547","NHS, Private/Independent"
"Llanfair Surgery","GP Surgeries","GP services","Llanfair Road",Llandovery,"SA20 0HY",,"'01550 720648",NHS
"Llanfrechfa Grange Hospital",Hospitals,"Learning Disability",Cwmbran,,"NP44 8YN",08/10/2025,"'01633 623623",NHS
"Llanfyllin Medical Centre","GP Surgeries","GP services","High Street",Llanfyllin,"SY22 5DG",10/06/2026,"'01691 648054",NHS
"MyDentist – Llangefni Dental Practice (de-registered 28/11/2025)","Dental Practices",Dental,"57 High Street",Anglesey,"LL77 7NA",15/09/2021,"'01248 722223","NHS, Private/Independent"
"Llangennech Surgery","GP Surgeries","GP services","Park Lane Llangennech",Llanelli,"SA14 8TU",14/05/2026,"'01554 820287",NHS
"United Dental - Llangyfelach Dental Centre","Dental Practices",Dental,"956 Llangyfelach Road Tirdeunaw",Swansea,SA57HR,26/09/2022,"'01792 771021","NHS, Private/Independent"
"Llanharry Surgery","GP Surgeries","GP services","Elm Road Llanharry",Pontyclun,"CF72 9HR",,"'01443 224309",NHS
"Llanidloes Dental Practice","Dental Practices",Dental,"7 & 8 Valentine Court",Llanidloes,"SY18 6QP",27/03/2025,"'01686 413679","NHS, Private/Independent"
"Llanidloes War Memorial Hospital",Hospitals,,"Eastgate Street",Llanidloes,"SY18 6HF",11/01/2024,"'01686 412121",NHS
"Llanilar Health Centre","GP Surgeries","GP services",Llanilar,Aberystwyth,"SY23 4PA",,"'01974 241556",NHS
"Llanilar Health Centre","GP Surgeries","GP services",Llanilar,Aberystwyth,"SY23 4PA",,"'01974 241556",NHS
"Llanishen Clinic (Community Dental Service)","Dental Practices",Dental,"Newborough Avenue",Llanishen,"CF14 5DB",,"'029 2076 5047",NHS
"Llanishen Court Surgery","GP Surgeries","GP services",Cardiff,Llanishen,"CF14 5YU",11/03/2020,"'029 2075 7025",NHS
"Llanishen Dental Centre","Dental Practices",Dental,"15 Heol Hir, Llanishen",Cardiff,"CF14 5AA",10/09/2025,"'029 2076 1476",Private/Independent
"Llanon Road Dental Practice","Dental Practices",Dental,"25 Llannon Road","Upper Tumble","SA14 6BW",18/04/2024,"'01269 832792","NHS, Private/Independent"
"Llanrhaedr Branch Surgery","GP Surgeries","GP services",Dolybont,Oswestry,"SY10 0LJ",,,NHS
"Llanrug Surgery","GP Surgeries","GP services","1 Bryn Moelyn",Gwynedd,"LL55 4PH",,"'01286 673984",NHS
"Llanrug Surgery","GP Surgeries","GP services","Station Road",Gwynedd,"LL55 4AG",,"'01286 673571",NHS
"Llanrumney Medical Group","GP Surgeries","GP services","Ball Road Llanrumney",Llanrumney,CF35NP,02/11/2017,"'029 2079 2661",NHS
"Llanrwst Dental Practice","Dental Practices",Dental,"24A Watling Street",Conwy,"LL26 0LS",15/02/2018,"'01492 641000","NHS, Private/Independent"
"Llansamlet Surgery","GP Surgeries","GP services","3 Frederick Place Llansamlet",Swansea,SA79RY,11/04/2022,"'01792 771465",NHS
"Llanwrtyd Health Centre","GP Surgeries","GP services","2 Ffos Road","Llanwrtyd Wells","LD5 4RG",,"'01591 610257",NHS
"Llanyrafon Dental Surgery","Dental Practices",Dental,"4 Llanyravon Square",Cwmbran,"NP44 8HS",24/07/2019,"'01633 870889","NHS, Private/Independent"
"Llanyravon Surgery","GP Surgeries","GP services","Llanyravon Way",Cwmbran,"NP44 8HW",30/01/2023,"'01633 833770",NHS
"Lliswerry Medical Centre","GP Surgeries","GP services","Fallowfield Drive",Newport,"NP19 4TD",,"'01633 277333",NHS
"Iorwerth Jones Centre",Hospitals,,"Trenchard Drive",Llanishen,"CF14 5LJ",,"'02920 681180",NHS
"Isca Dental Practice","Dental Practices",Dental,"Cadoc House High Street",Caerleon,"NP18 1AZ",31/01/2019,"'01633 430155","NHS, Private/Independent"
"Isca Medical Centre","GP Surgeries","GP services","Cadoc House",Caerleon,"NP18 1AZ",08/07/2021,"'01633 423886",NHS
"Isfryn Dental Surgery (Wesley, Blinman and Associates)","Dental Practices",Dental,"56 High Street",Treorchy,"CF42 6NR",06/01/2022,"'01443 773115","NHS, Private/Independent"
