ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
87 STRAND ROAD,,LONDONDERRY,,BT48 7NN,02871266000,GDS,WESTERN,DERRY
88 LOWER SCOTCH STREET,,DUNGANNON,,BT70 1BJ,02887723742,GDS,SOUTHERN,DUNGANNON
953 UPPER NEWTOWNARDS ROAD,,BELFAST,,BT16 1RL,02890483537,GDS,BELFAST,CASTLEREAGH
97 BRUNSWICK ROAD,,BANGOR,,BT20 3DW,02891270634,GDS,SOUTH EASTERN,NORTH DOWN
9A NEWRY ROAD,,BANBRIDGE,,BT32 3HF,02840669944,GDS,SOUTHERN,BANBRIDGE
ALTMORE DENTAL PRACTICE,61 THOMAS STREET,DUNGANNON,,BT70 1HW,02887722615,GDS,SOUTHERN,DUNGANNON
ANTRIM ROAD DENTAL CARE,277 ANTRIM ROAD,BELFAST,,BT15 2GZ,02890743709,GDS,BELFAST,BELFAST
BALLYMENA DENTAL CARE,125 BROUGHSHANE STREET,BALLYMENA,,BT43 6EE,02825656444,GDS,NORTHERN,BALLYMENA
CASTLEBAWN DENTAL PRACTICE,32-34 VICTORIA ROAD,BANGOR,,BT20 5EX,02891452555,GDS,SOUTH EASTERN,NORTH DOWN
CRUTCHLEYS DENTAL PRACTICE,116 UPPER LISBURN ROAD,BELFAST,,BT10 0BD,02890603440,GDS,BELFAST,BELFAST
DELICATE DENTAL,106 MAIN ST LISNASKEA,CO FERMANAGH,,BT92 0JD,02867722223,GDS,WESTERN,FERMANAGH
ELLIOTT HOUSE,5-7 BELMORE STREET,ENNISKILLEN,,BT74 6AA,02866323037,GDS,WESTERN,FERMANAGH
FOYLE DENTAL SPA,16C QUEEN STREET,LONDONDERRY,,BT48 7EQ,02871361181,GDS,WESTERN,DERRY
IRVINESTOWN DENTAL&IMPLANT CL,1 POUND STREET,IRVINESTOWN,ENNISKILLEN,BT94 1HE,0286828500,GDS,WESTERN,FERMANAGH
MAGHERA DENTAL CARE,27 CHURCH STREET,MAGHERA,,BT46 5EA,02879643396,GDS,NORTHERN,MAGHERAFELT
MAINE DENTAL PRACTICE,14B OLD MILL PARK,CULLYBACKEY,,BT42 1GP,02825880500,GDS,NORTHERN,BALLYMENA
NEWRY DENTURE CENTRE,100 HILL STREET,NEWRY,,BT34 1BT,02830265765,GDS,SOUTHERN,NEWRY & MOURNE
PASTE DENTAL,23 DUBLIN ROAD,BELFAST,,BT2 7HB,02890325345,GDS,BELFAST,BELFAST
RATHFRILAND DENTAL CARE,40 JOHN STREET,RATHFRILAND,,BT34 5QH,02840638733,GDS,SOUTHERN,BANBRIDGE
SLIABH MÓR DENTAL CARE,"KENNEDY CENTRE, 564-568 FALLS ROAD",BELFAST,,BT11 9AE,02890430110,GDS,BELFAST,BELFAST
SOUTH DOWN CLINIC,22 MERCHANTS QUAY,NEWRY,,BT35 6AH,02830251715,GDS,SOUTHERN,NEWRY & MOURNE
THE COURTYARD BUSINESS PARK,GALGORM CASTLE,BALLYMENA,,BT42 1HL,02825631122,GDS,NORTHERN,BALLYMENA
THE GRANGE DENTAL CARE,2 CREVENAGH ROAD,OMAGH,,BT79 0AL,02882244776,GDS,WESTERN,OMAGH
UNIT 18,THE DIAMOND CENTRE,MAGHERAFELT,,BT45 6ED,02879300020,GDS,NORTHERN,MAGHERAFELT
YEW TREE DENTAL PRACTICE,45-47 PATRICK STREET,NEWRY,,BT35 8EB,02830257676,GDS,SOUTHERN,NEWRY & MOURNE
CAUSEWAY ORTHO / CENTRE,12 SANDEL VILLAGE,COLERAINE,,BT52 1WW,02870356262,GDS,NORTHERN,COLERAINE
CHURCH ROAD DENTAL CARE,29 CHURCH ROAD,CARRYDUFF,,BT8 8DT,02890817848,GDS,BELFAST,CASTLEREAGH
CLAIRE HUGHES DENTAL,UNIT 8 14-22 SPENCER ROAD,LONDONDERRY,,BT47 6QA,02871311333,GDS,WESTERN,DERRY
CUSHENDALL DENTAL SURGERY,GLENS OF ANTRIM MEDICAL CENTRE,2 GORTACLEE ROAD CUSHENDALL,,BT44 0TE,02821771242,GDS,NORTHERN,MOYLE
DALRIADA URGENT CARE,DENTAL DEPARTMENT,20 LARNE LINK ROAD BALLYMENA,,BT42 3GA,02825663520,SALARIED,NORTHERN,BALLYMENA
DJ MAGUIRE CLINIC,HEATHWOOD HOUSE,87 BRIDGE STREET,PORTADOWN,BT63 5AA,02838702623,GDS,SOUTHERN,CRAIGAVON
DOWNE DENTAL CARE LTD,10 ENGLISH STREET,DOWNPATRICK,,BT30 6AB,02844614422,GDS,SOUTH EASTERN,DOWN
DUNGANNON HOUSE,139 MOORE STREET,AUGHNACLOY,,BT69 6AR,02885557275,GDS,SOUTHERN,DUNGANNON
GLENGORMLEY DENTAL UNIT 1-3,350 ANTRIM ROAD,GLENGORMLEY,,BT36 5EQ,02890833100,GDS,NORTHERN,NEWTOWNABBEY
KELLY DENTAL CARE,8 CLARENDON STREET,LONDONDERRY,,BT48 7ET,02871264451,GDS,WESTERN,DERRY
KENNEDY ORTHODONTICS,2ND FLOOR BEDECK BUILDING,"465 LISBURN ROAD, BELFAST",,BT9 7EX,02890660550,GDS,BELFAST,BELFAST
KILREA DENTAL SURGERY,33 MAGHERA STREET,KILREA,,BT51 5QL,02829540248,GDS,NORTHERN,COLERAINE
KIRCUBBIN DENTAL,68 - 70 MAIN STREET,KIRCUBBIN,,BT22 2SP,02842738729,GDS,SOUTH EASTERN,ARDS
MULGREW ORTHODONTICS,58 STRAND ROAD,LONDONDERRY,,BT48 7AJ,02871367424,GDS,WESTERN,DERRY
MURRAY'S DENTAL PRACTICE,1 MOUNTJOY ROAD,OMAGH,,BT79 7AA,02882242389,GDS,WESTERN,OMAGH
NI DENTAL CARE,639 LISBURN RD,BELFAST,,BT9 7GT,02890664009,GDS,BELFAST,BELFAST
OFFICE 5/LEGAHORY CENTRE,BROWNLOW,CRAIGAVON,,BT65 5BE,02838322080,GDS,SOUTHERN,CRAIGAVON
ORTHOPLUS,12 BALLYMONEY ROAD,BALLYMENA,,BT43 5BY,02825655500,GDS,NORTHERN,BALLYMENA
THE VILLAGE DENTAL PRACTICE,33 DOWNPATRICK STREET,CROSSGAR,,BT30 9EA,02844830111,GDS,SOUTH EASTERN,DOWN
UNIT 2,3A KILLYCOLP ROAD,COOKSTOWN,,BT80 9AD,02886761108,GDS,NORTHERN,COOKSTOWN
UNIT 3 CLOUGHOGUE BUSINESS PARK,14 FORKHILL ROAD,NEWRY,,BT35 8RA,02830267484,GDS,SOUTHERN,NEWRY & MOURNE
ZEN ORTHODONTICS,2 DOWNSHIRE CLOSE,NEWRY,,BT34 1FD,02830252110,GDS,SOUTHERN,NEWRY & MOURNE
10 TREVOR HILL,,NEWRY,,BT34 1DN,02830262057,GDS,SOUTHERN,NEWRY & MOURNE
107 HOLYWOOD ROAD,,BELFAST,,BT4 3BE,02890471511,GDS,BELFAST,BELFAST
107 KINGSWAY,,DUNMURRY,,BT17 9NS,02890613322,GDS,SOUTH EASTERN,LISBURN
11 THE DIAMOND CENTRE,,MAGHERAFELT,,BT45 6EB,02879632495,GDS,NORTHERN,MAGHERAFELT
12 DOWNS ROAD,,NEWCASTLE,,BT33 0AG,02843722302,GDS,SOUTH EASTERN,DOWN
12 FINAGHY ROAD SOUTH,,BELFAST,,BT10 0DR,02890614937,GDS,BELFAST,BELFAST
1-3 BACHELORS WALK,LISBURN,,,BT28 1XJ,02892679060,GDS,SOUTH EASTERN,LISBURN
137 OLD GLENARM ROAD,,LARNE,,BT40 1NH,02828273737,GDS,NORTHERN,LARNE
14 BALLYMONEY ROAD,,BALLYMENA,,BT43 5BY,02825655060,GDS,NORTHERN,BALLYMENA
14 TREVOR HILL,,NEWRY,,BT34 1DN,02830261565,GDS,SOUTHERN,NEWRY & MOURNE
15 UPPER DUNMURRY LANE,,BELFAST,,BT17 0AA,02890618545,GDS,SOUTH EASTERN,LISBURN
15 WINDSOR AVENUE,,BELFAST,,BT9 6EE,02890381822,GDS,BELFAST,BELFAST
163 ANDERSONSTOWN ROAD,,BELFAST,,BT11 9EA,02890611444,GDS,BELFAST,BELFAST
17/19 MAIN STREET,,PORTGLENONE,,BT44 8AA,02825822262,GDS,NORTHERN,BALLYMENA
18 DENTAL,18 LODGE ROAD,COLERAINE,,BT52 1NB,02870327057,GDS,NORTHERN,COLERAINE
18 KILLINCHY STREET,,COMBER,,BT23 5AP,02891872482,GDS,SOUTH EASTERN,ARDS
1A STATION ROAD,,HELENS BAY,,BT19 1TN,02891853304,GDS,SOUTH EASTERN,NORTH DOWN
2 CARLISLE VILLAS,,OMAGH,,BT79 7DH,02882242145,GDS,WESTERN,OMAGH
2 THE SQUARE,STRANGFORD,DOWNPATRICK,,BT30 7ND,02844881995,GDS,SOUTH EASTERN,DOWN
22 HIGHTOWN ROAD,,GLENGORMLEY,,BT36 7UA,02890832022,GDS,NORTHERN,NEWTOWNABBEY
22 LISBURN STREET,,HILLSBOROUGH,,BT26 6AB,02892688388,GDS,SOUTH EASTERN,LISBURN
236 ANTRIM ROAD,,BELFAST,,BT15 2AN,02890749679,GDS,BELFAST,BELFAST
24 BARRACK STREET,,COALISLAND,,BT71 4LS,02887740995,GDS,SOUTHERN,DUNGANNON
25 CLARENDON STREET,DERRY,,,BT48 7EP,02871369050,GDS,WESTERN,DERRY
25 LINENHALL STREET,,BALLYMENA,,BT43 5AJ,02825652565,GDS,NORTHERN,BALLYMENA
25 MAIN STREET,,BROUGHSHANE,,BT42 4JW,02825862224,GDS,NORTHERN,BALLYMENA
25 PATRICK STREET,,NEWRY,,BT35 8EB,02830263326,GDS,SOUTHERN,NEWRY & MOURNE
3 JAMES STREET,,OMAGH,,BT78 1DH,02882249555,GDS,WESTERN,OMAGH
3 LODGE ROAD,,COLERAINE,,BT52 1LU,02870342393,GDS,NORTHERN,COLERAINE
33 BACHELORS WALK,,LISBURN,,BT28 1XN,02892663893,GDS,SOUTH EASTERN,LISBURN
33/35 SANDOWN ROAD,,BELFAST,,BT5 6GT,02890471070,GDS,BELFAST,BELFAST
34 HIGH STREET,DRAPERSTOWN,MAGHERAFELT,,BT45 7AA,02879627677,GDS,NORTHERN,MAGHERAFELT
34 MAIN STREET,,CASTLEDERG,,BT81 7AT,02881670770,GDS,WESTERN,STRABANE
354 ANTRIM ROAD,,BELFAST,,BT15 5AE,02890371517,GDS,BELFAST,BELFAST
38 CATHERINE STREET,,LIMAVADY,,BT49 9DB,02877765077,GDS,WESTERN,LIMAVADY
385 ANTRIM ROAD,,BELFAST,,BT15 3BG,02890754916,GDS,BELFAST,BELFAST
39 MARY STREET,,NEWRY,,BT34 2AA,02830262612,GDS,SOUTHERN,NEWRY & MOURNE
4 HARBOUR ROAD,,KILKEEL,,BT34 4AR,02841764846,GDS,SOUTHERN,NEWRY & MOURNE
4 LADYBROOK PARK,,BELFAST,,BT11 9EL,02890301999,GDS,BELFAST,BELFAST
415-417 NEWTOWNARDS ROAD,BELFAST,,,BT4 1AQ,02890732000,GDS,BELFAST,BELFAST
41A BELMORE STREET,,ENNISKILLEN,,BT74 6AA,02866340005,GDS,WESTERN,FERMANAGH
42 HAMILTON ROAD,,BANGOR,,BT20 4LE,02891272525,GDS,SOUTH EASTERN,NORTH DOWN
440 ANTRIM ROAD,,BELFAST,,BT15 5GB,02890774633,GDS,BELFAST,BELFAST
46 BRADBURY PLACE,,BELFAST,,BT7 1RU,02890222444,GDS,BELFAST,BELFAST
47 MAIN STREET,,NEWCASTLE,,BT33 0AD,02843724275,GDS,SOUTH EASTERN,DOWN
48 KILLYLEAGH STREET,CROSSGAR,CO. DOWN,,BT30 9DQ,02844832585,GDS,SOUTH EASTERN,DOWN
49 HIGH STREET,,BALLYMONEY,,BT53 6BG,02827662532,GDS,NORTHERN,BALLYMONEY
5 NORTH STREET,,NEWTOWNARDS,,BT23 4DE,02891812615,GDS,SOUTH EASTERN,ARDS
51 VICTORIA ROAD,,CARRICKFERGUS,,BT38 7JJ,02893351825,GDS,NORTHERN,CARRICKFERGUS
53 MAIN STREET,,RANDALSTOWN,,BT41 3BB,02894472311,GDS,NORTHERN,ANTRIM
543 ANTRIM ROAD,,BELFAST,,BT15 3BU,02890370144,GDS,BELFAST,BELFAST
55/57 HIGH STREET,,DONAGHADEE,,BT21 0AQ,02891882572,GDS,SOUTH EASTERN,ARDS
6 ANNE STREET,,ENNISKILLEN,,BT74 7ES,02866322628,GDS,WESTERN,FERMANAGH
6 MONAGHAN COURT,,NEWRY,,BT35 6BH,02830898104,GDS,SOUTHERN,NEWRY & MOURNE
6 NEW BRIGHTON TERRACE,,OMAGH,,BT78 1LL,02882242218,GDS,WESTERN,OMAGH
6 VICTORIA STREET,,ARMAGH,,BT61 9DT,02837522135,GDS,SOUTHERN,ARMAGH
6A MARKET LANE,,LISBURN,,BT28 1YG,02892663414,GDS,SOUTH EASTERN,LISBURN
74 SPRINGFIELD ROAD,,BELFAST,,BT12 7AH,02890322691,GDS,BELFAST,BELFAST
83A BRIDGE STREET,,PORTADOWN,,BT63 5AA,02838334116,GDS,SOUTHERN,CRAIGAVON
84 FORTHILL STREET,,ENNISKILLEN,,BT74 6AJ,02866328329,GDS,WESTERN,FERMANAGH
86 SPENCER ROAD,,LONDONDERRY,,BT47 1AG,02871344234,GDS,WESTERN,DERRY
89 TEMPO ROAD,,ENNISKILLEN,,BT74 6HR,02866340004,GDS,WESTERN,FERMANAGH
BELMONT ORTHODONTICS,98 BELMONT ROAD,BELFAST,,BT4 2AP,02890656666,GDS,BELFAST,BELFAST
BUPA DENTAL CARE,BANGOR SPRINGHILL,4A KILLEEN AVENUE,BANGOR,BT19 1NB,02891274101,GDS,SOUTH EASTERN,NORTH DOWN
CHURCH PLACE DENTAL,21 CHURCH PLACE,LURGAN,,BT66 6EY,02838325979,GDS,SOUTHERN,CRAIGAVON
CLEAR DENTAL,1 FOUNTAIN HILL,ANTRIM,,BT41 1LZ,02894485949,GDS,NORTHERN,ANTRIM
DIAMOND DENTAL CLINIC,7 BURN ROAD,COOKSTOWN,,BT80 8DL,02886762200,GDS,NORTHERN,COOKSTOWN
EBRINGTON DENTAL,CUNNINGHAM BUILDING,4 EBRINGTON SQUARE,LONDONDERRY,BT47 6FR,02871361940,GDS,WESTERN,DERRY
FLAT 2 IVEAGH FLATS,RAILWAY STREET,NEWCASTLE,,BT33 0SP,02843723776,GDS,SOUTH EASTERN,DOWN
GRANSHA DENTAL SURGERY,89A GLEN ROAD,BELFAST,,BT11 8BD,08445769505,GDS,BELFAST,BELFAST
HEALTHODONTIC,38 BRUNSWICK ROAD,BANGOR,,BT20 3DU,02891462234,GDS,SOUTH EASTERN,NORTH DOWN
MOY ORTHODONTIC CLINIC,31 THE SQUARE,MOY,,BT71 7SG,02887784827,GDS,SOUTHERN,DUNGANNON
NIGEL SMITH DENTAL CARE,107 HAMILTON ROAD,BANGOR,,BT20 4LN,02891270657,GDS,SOUTH EASTERN,NORTH DOWN
PORTRUSH DENTAL CARE,22 DUNLUCE AVENUE,PORTRUSH,,BT56 8DW,02870825000,GDS,NORTHERN,COLERAINE
