company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes,email
HOMES ESTATE AGENTS (MUDEFORD) LTD.,07213288,"Sussex Innovation Centre, Science Park Square, Brighton, BN1 9SB, England",BN1 9SB,,,68310,dissolved,2010-04-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN1,Companies House API,,
BARTHOLOMEW ESTATE AGENTS LIMITED,09022620,"303 Goring Road, Worthing, West Sussex, BN12 4NX",BN12 4NX,,,68310,active,2014-05-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN12,Companies House API,,
EDWARDS AND CO (ESTATE AGENTS) LIMITED,06578945,"111 South Farm Road, Worthing, West Sussex, BN14 7AX",BN14 7AX,,,68310,active,2008-04-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN14,Companies House API,,
GRAHAM BUTT ESTATE AGENTS LIMITED,06373717,"75 High Street, Littlehampton, West Sussex, BN17 5AG",BN17 5AG,,,68310,active,2007-09-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN17,Companies House API,,
COLE'S ESTATE AGENTS LIMITED,07040922,"18 Hyde Gardens, Eastbourne, East Sussex, BN21 4PT, United Kingdom",BN21 4PT,,,68310,active,2009-10-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN21,Companies House API,,
DAVID CHRISTOPHER ESTATE AGENTS LIMITED,04454695,"18 Hyde Gardens, Eastbourne, East Sussex, BN21 4PT, United Kingdom",BN21 4PT,,,68310,active,2002-06-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN21,Companies House API,,
CHARLES FOX ESTATE AGENTS LIMITED,05330670,"65 Hamilton Quay, Eastbourne, BN23 5PX, England",BN23 5PX,,,68310,active,2005-01-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN23,Companies House API,,
CARRUTHERS & LUCK ESTATE AGENTS LTD,08884155,"Unit A6 Chaucer Business Park, Dittons Road, Polegate, East Sussex, BN26 6QH, England",BN26 6QH,,,68310,active,2014-02-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN26,Companies House API,,
AP ESTATE AGENTS LIMITED,14075380,"30/34 North Street, Hailsham, East Sussex, BN27 1DW, United Kingdom",BN27 1DW,,,68310,active,2022-04-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN27,Companies House API,,
DAVID JORDAN ESTATE AGENTS LIMITED,05388343,"30-34 North Street, Hailsham, East Sussex, BN27 1DW, England",BN27 1DW,,,68310,active,2005-03-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN27,Companies House API,,
DAVID & CO ESTATE AGENTS LIMITED,05202234,"85 Church Road, Hove, East Sussex, BN3 2BB",BN3 2BB,,,"68310, 68320",active,2004-08-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN3,Companies House API,,
BANFIELD ESTATE AGENTS LTD,04955633,"168 Church Road, Hove, East Sussex, BN3 2DL",BN3 2DL,,,68310,active,2003-11-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN3,Companies House API,,
CHARLES WYCHERLEY INDEPENDENT ESTATE AGENTS LIMITED,13858008,"One, Bell Lane, Lewes, East Sussex, BN7 1JU, England",BN7 1JU,,,68310,active,2022-01-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN7,Companies House API,,
HARPER & BELL ESTATE AGENTS LTD,14620273,"14 West Quay, Newhaven, BN9 9DQ, England",BN9 9DQ,,,68310,active,2023-01-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BN9,Companies House API,,
APX ESTATE AGENTS SE LTD,14140079,"424 Downham Way, Bromley, Kent, BR1 5HR, England",BR1 5HR,,,68310,active,2022-05-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BR1,Companies House API,,
GRAFTON ESTATE AGENTS LIMITED,14397194,"61 Beckenham Road, Beckenham, Kent, BR3 4PR, England",BR3 4PR,,,68310,active,2022-10-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BR3,Companies House API,,
CRAY & NORTON ESTATE AGENTS LIMITED,05478005,"83 High Street, West Wickham, BR4 0LS, England",BR4 0LS,,,68310,active,2005-06-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BR4,Companies House API,,
BISHOP ESTATE AGENTS LTD,08416702,"266 High Street, Orpington, Kent, BR6 0NB",BR6 0NB,,,68310,active,2013-02-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BR6,Companies House API,,
EDMUND ESTATE AGENTS LIMITED,07584224,"Lynwood House, Crofton Road, Orpington, Kent, BR6 8QE",BR6 8QE,,,68310,active,2011-03-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BR6,Companies House API,,
HENSONS ESTATE AGENTS LTD,16363577,"13 Rockwell Avenue, Bristol, Avon, BS11 0UF, United Kingdom",BS11 0UF,,,68310,active,2025-04-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS11,Companies House API,,
GRACE AND CO ESTATE AGENTS LIMITED,05883508,"217 Station Road, Kingswood, Bristol, BS15 4XN",BS15 4XN,,,68310,dissolved,2006-07-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS15,Companies House API,,
CLIFTONS ESTATE AGENTS LIMITED,06968074,"21 21 Harbour Road, Portishead, Bristol, BS20 7AJ, England",BS20 7AJ,,,68310,liquidation,2009-07-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS20,Companies House API,,
CHALLENGER BURGESS ESTATE AGENTS LTD,12840255,"Pure Offices Kestrel Court, Harbour Road, Portishead, North Somerset, BS20 7AN, England",BS20 7AN,,,68310,active,2020-08-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS20,Companies House API,,
GINOS ESTATE AGENTS LTD,12648681,"6 Ryves Vale, Tickenham, Clevedon, BS21 6FZ, United Kingdom",BS21 6FZ,,,"68310, 68320",active,2020-06-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS21,Companies House API,,
ASHLEY LEAHY ESTATE AGENTS LIMITED,16855973,"Unit 306 Park Way, Worle, Weston-Super-Mare, BS22 6WA, England",BS22 6WA,,,68310,active,2025-11-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS22,Companies House API,,
AVERY ESTATE AGENTS LIMITED,05513981,"199 Milton Road, Weston-Super-Mare, Avon, BS22 8EF, United Kingdom",BS22 8EF,,,68310,active,2005-07-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS22,Companies House API,,
ASHCOMBE ESTATE AGENTS AND LETTINGS LTD,14074077,"42a Milton Road, Weston-Super-Mare, BS23 2SW, England",BS23 2SW,,,"68209, 68310",active,2022-04-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS23,Companies House API,,
CHRISTIAN JAMES ESTATE AGENTS LTD,17200497,"98 Wentwood Drive, Weston-Super-Mare, BS24 9ND, England",BS24 9ND,,,68310,active,2026-05-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS24,Companies House API,,
FARRONS ESTATE AGENTS LTD,05957144,"30 Woodborough Road, Winscombe, Avon, BS25 1AG",BS25 1AG,,,68310,active,2006-10-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS25,Companies House API,,
ANDREWS ESTATE AGENTS LIMITED,00700540,"Wessex House Pixash Lane, Keynsham, Bristol, BS31 1TP, England",BS31 1TP,,,68310,active,1961-08-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS31,Companies House API,,
DSB ESTATE AGENTS LTD,13613440,"42 Rodford Ride, Yate, Bristol, BS37 4FS, England",BS37 4FS,,,"68100, 68310",active,2021-09-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS37,Companies House API,,
BUNDY & BOND ESTATE AGENTS LIMITED,09496982,"Unit 2 Rounceval Street Rounceval Street, Chipping Sodbury, Bristol, BS37 6AS, England",BS37 6AS,,,68310,active,2015-03-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS37,Companies House API,,
HOMELY BESPOKE ESTATE AGENTS LIMITED,15699436,"Henleaze House, Heanleaze House, Business Centre, 13 Harbury Road, Bristol, BS9 4PN, England",BS9 4PN,,,68310,active,2024-05-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS9,Companies House API,,
GOODCHILD ESTATE AGENTS LIMITED,16123522,"209 Wellington Hill West, Bristol, BS9 4QL, England",BS9 4QL,,,68310,active,2024-12-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BS9,Companies House API,,
CONNOLLY LONGHURST (ESTATE AGENTS) LIMITED,NI621506,"Unit 1 44-58 Dargan Crescent, Belfast, BT3 9JP, Northern Ireland",BT3 9JP,,,68310,active,2013-11-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT3,Companies House API,,
GARETH MILLS ESTATE AGENTS LTD,NI727227,"2 Market Place, Carrickfergus, Antrim, BT38 7AW, Northern Ireland",BT38 7AW,,,68310,active,2025-03-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT38,Companies House API,,
EEZEE ESTATE AGENTS LIMITED,NI690636,"6 Bayview Terrace, Derry, BT48 7EE, Northern Ireland",BT48 7EE,,,68310,active,2022-08-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT48,Companies House API,,
EOC ESTATE AGENTS LTD,NI635381,"16 Main Street, Limavady, County Londonderry, BT49 0EU, Northern Ireland",BT49 0EU,,,68310,active,2015-12-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT49,Companies House API,,
HOMEPAGE ESTATE AGENTS LIMITED,NI688124,"Unit 16, Furness House, Aghanloo Industrial Estate, Limavady, BT49 0HE, Northern Ireland",BT49 0HE,,,68310,active,2022-05-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT49,Companies House API,,
CARLETON ESTATE AGENTS LTD,NI674289,"5 Gilford Road, Portadown, Craigavon, BT63 5BZ, Northern Ireland",BT63 5BZ,,,68310,active,2020-11-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT63,Companies House API,,
D-BEES HYBRID ESTATE AGENTS LTD,NI656229,"57f Derrytrasna Road, Craigavon, Armagh, BT66 6QB, United Kingdom",BT66 6QB,,,68310,active,2018-10-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT66,Companies House API,,
HARTEL & CO ESTATE AGENTS LTD,NI726880,"41 Market Square, Connect Dungannon, Dungannon, Tyrone, BT70 1JN, United Kingdom",BT70 1JN,,,"68310, 68320",active,2025-02-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT70,Companies House API,,
CORRY AND STEWART ESTATE AGENTS LIMITED,NI652876,"36a High Street, Omagh, BT78 1BP, Northern Ireland",BT78 1BP,,,68310,active,2018-05-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT78,Companies House API,,
BELFAST ESTATE AGENTS LTD,NI728406,"32 Baronsgrange Park, Belfast, BT8 8LF, United Kingdom",BT8 8LF,,,68310,active,2025-04-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT8,Companies House API,,
GOC ESTATE AGENTS LIMITED,NI609559,"147 Stranmillis Road, Belfast, BT9 5AJ",BT9 5AJ,,,68310,active,2011-10-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT9,Companies House API,,
BENNETT ESTATE AGENTS LTD,NI631693,"184 Lisburn Road Lisburn Road, Belfast, BT9 6AL, Northern Ireland",BT9 6AL,,,68310,active,2015-06-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,BT9,Companies House API,,
